Title,Artist,ArtistBio,Nationality,Continent,BeginDate,EndDate,Gender,DateProduced,Medium,DateAcquired,YearAcquired,AgeAtAcquisition,ObjectID,height,width,area,RevURL,ThumbnailURL
"Egg Beater, V",Stuart Davis,American,American,North America,1892,1964,Male,1930,Oil on canvas,1945-03-07,1945,15,78895,127.3,81.9,10425.87,http://www.moma.org/collection/works/78895,http://www.moma.org/media/W1siZiIsIjE0OTgyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1bae09615c69af72
Men Taking Banana Beer to Bridge by Night,Sam Joseph Ntiro,Tanzanian,Tanzanian,Africa,1923,1993,Male,1956,Oil on canvas,1960-05-26,1960,4,78896,40.9,50.8,2077.72,http://www.moma.org/collection/works/78896,http://www.moma.org/media/W1siZiIsIjE3MDk3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=300e3ffd161372ca
"Essential Surface, Eye",Octave Landuyt,Belgian,Belgian,Europe,1922,0,Male,1960,Oil on canvas,1961-04-11,1961,1,78897,130.5,160.3,20919.15,http://www.moma.org/collection/works/78897,http://www.moma.org
Cut Meringues,Wayne Thiebaud,American,American,North America,1920,0,Male,1961,Oil on canvas,1962-04-10,1962,1,78898,40.6,50.6,2054.36,http://www.moma.org/collection/works/78898,http://www.moma.org/media/W1siZiIsIjE1OTExNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a8ebec3425d81d67
Bookworms Harvest,Robert Rauschenberg,American,American,North America,1925,2008,Male,1998,Vegetable dye transfer on paper on metal,1999-05-11,1999,1,78899,247.6,154.9,38353.24,http://www.moma.org/collection/works/78899,http://www.moma.org/media/W1siZiIsIjg0MDY4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=cfee9b2cc7370312
Studio V,Georges Braque,French,French,Europe,1882,1963,Male,1950,Oil on canvas,2000-02-07,2000,50,78900,147,176.53,25949.91,http://www.moma.org/collection/works/78900,http://www.moma.org/media/W1siZiIsIjE1MTAwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6561a3f21a320dd0
"Pottery, Number 9",Evert Lundquist,Swedish,Swedish,Europe,1904,1994,Male,1949,Oil on canvas,1961-04-11,1961,12,78901,117,105,12285,http://www.moma.org/collection/works/78901,http://www.moma.org/media/W1siZiIsIjIwODI2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=993aa6669a679dbf
Untitled Asheville Citizen,Robert Rauschenberg,American,American,North America,1925,2008,Male,1952,"Oil and newspaper on canvas, two panels",1999-05-11,1999,47,78902,188,72.4,13611.2,http://www.moma.org/collection/works/78902,http://www.moma.org/media/W1siZiIsIjI0Njc4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3147e595afea4539
Girl with Bare Shoulders,Gwen John,British,British,Europe,1876,1939,Female,1910,Oil on canvas,1958-10-29,1958,48,78904,43.4,26,1128.4,http://www.moma.org/collection/works/78904,http://www.moma.org/media/W1siZiIsIjE2NjgxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=235c2f37e21e3f35
"Explorers, Burke and Wills",Albert Tucker,Australian,Australian,Australia,1914,1999,Male,1960,Oil and sand on canvas,1960-05-26,1960,0,78905,122.1,156.1,19059.81,http://www.moma.org/collection/works/78905,http://www.moma.org
