Title,Artist,ArtistBio,Nationality,Continent,BeginDate,EndDate,Gender,DateProduced,Medium,DateAcquired,YearAcquired,AgeAtAcquisition,ObjectID,height,width,area,RevURL,ThumbnailURL
"Rope and People, I",Joan Miro,Spanish,Spanish,Europe,1893,1983,Male,1935,"Oil on cardboard mounted on wood, with coil of rope",1936-10-16,1936,1,33621,104.8,74.6,7818.08,http://www.moma.org/collection/works/33621,http://www.moma.org/media/W1siZiIsIjE2MDU0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bda8976e9be36136
Fire in the Evening,Paul Klee,German,German,Europe,1879,1940,Male,1929,Oil on cardboard,1970-04-08,1970,41,34854,33.8,33.3,1125.54,http://www.moma.org/collection/works/34854,http://www.moma.org/media/W1siZiIsIjE3Njc2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0c57b375807d1f87
Portrait of an Equilibrist,Paul Klee,German,German,Europe,1879,1940,Male,1927,Oil and collage on cardboard over wood with painted plaster border,1966-04-12,1966,39,35209,60.3,36.8,2219.04,http://www.moma.org/collection/works/35209,http://www.moma.org/media/W1siZiIsIjE3OTI4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=580fa5bb76eff44f
Guitar,Pablo Picasso,Spanish,Spanish,Europe,1881,1973,Male,1919,"Oil, charcoal and pinned paper on canvas",1955-12-28,1955,36,36613,215.9,78.7,16991.33,http://www.moma.org/collection/works/36613,http://www.moma.org/media/W1siZiIsIjE1MDQ2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=17d34f53cc1e6fa3
Grandmother,Arthur Dove,American,American,North America,1880,1946,Male,1925,"Shingles, needlepoint, page from Concordance, pressed flowers and ferns mounted on cloth-covered wood",1939-12-08,1939,14,37674,50.8,54,2743.2,http://www.moma.org/collection/works/37674,http://www.moma.org/media/W1siZiIsIjI0NzA5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=093d454bd551973d
"""M'Amenez-y""",Francis Picabia,French,French,Europe,1879,1953,Male,1920,Oil and enamel paint on cardboard,1968-10-08,1968,48,38561,129.2,89.9,11615.08,http://www.moma.org/collection/works/38561,http://www.moma.org/media/W1siZiIsIjMzNjY1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f29d885c0b373bbd
Untitled,Blinky Palermo,German,German,Europe,1943,1977,Male,1970,Dyed cotton mounted on muslin,1997-06-02,1997,27,78283,200,200,40000,http://www.moma.org/collection/works/78283,http://www.moma.org/media/W1siZiIsIjE1MTQ0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=183105a88622f704
Daylight Savings Time,Pierre Roy,French,French,Europe,1880,1950,Male,1929,Oil on canvas,1931-01-19,1931,2,78294,54.6,38.1,2080.26,http://www.moma.org/collection/works/78294,http://www.moma.org/media/W1siZiIsIjIzMzkzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=96820bf47e072d6c
The Bather,Paul Cezanne,French,French,Europe,1839,1906,Male,1885,Oil on canvas,1934-09-23,1934,49,78296,127,96.8,12293.6,http://www.moma.org/collection/works/78296,http://www.moma.org/media/W1siZiIsIjE1MTA5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d82c8c078cb11fcb
Syntheses of Naples,Enrico Prampolini,Italian,Italian,Europe,1894,1956,Male,1930,Oil on canvas,1941-12-10,1941,11,78299,100,100.3,10030,http://www.moma.org/collection/works/78299,http://www.moma.org/media/W1siZiIsIjE4NjgzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bccf9bc277ee280e
Two Rabbis,Jankel Adler,Polish,Polish,Europe,1895,1949,Male,1942,Oil on canvas,1949-02-03,1949,7,78301,86,112.1,9640.6,http://www.moma.org/collection/works/78301,http://www.moma.org/media/W1siZiIsIjE2MTM0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4cde4921780ac1fc
The Flame and the Diver,Jean Bazaine,French,French,Europe,1904,2001,Male,1953,Oil on canvas,1957-02-27,1957,4,78303,194.9,129.5,25239.55,http://www.moma.org/collection/works/78303,http://www.moma.org
Girl Wading,Elmer Bischoff,American,American,North America,1916,1991,Male,1959,Oil on canvas,1960-02-10,1960,1,78305,209.8,172,36085.6,http://www.moma.org/collection/works/78305,http://www.moma.org/media/W1siZiIsIjIwNzk3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=eab3905720a78afc
"Painting, 4",Vasudeo S. Gaitonde,Indian,Indian,Asia,1924,2001,Male,1962,Oil on canvas,1963-01-08,1963,1,78306,101.6,126.6,12862.56,http://www.moma.org/collection/works/78306,http://www.moma.org/media/W1siZiIsIjE3MjEyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d62271767526c97a
The Voice,Barnett Newman,American,American,North America,1905,1970,Male,1950,Egg tempera and enamel on canvas,1968-01-10,1968,18,78308,244.1,268,65418.8,http://www.moma.org/collection/works/78308,http://www.moma.org/media/W1siZiIsIjIwMjM3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=67296c15ee0c9e2d
Plums on a Plate,Preston Dickinson,American,American,North America,1889,1930,Male,1926,Oil on canvas,1931-03-11,1931,5,78309,35.6,50.8,1808.48,http://www.moma.org/collection/works/78309,http://www.moma.org/media/W1siZiIsIjE2NjgyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=384babfc95bc9b5c
"Composition in White, Black, and Red",Piet Mondrian,Dutch,Dutch,Europe,1872,1944,Male,1936,Oil on canvas,1937-01-15,1937,1,78310,102.2,104.1,10639.02,http://www.moma.org/collection/works/78310,http://www.moma.org/media/W1siZiIsIjI2NTc5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1c59ad71c8df221b
Girl before a Mirror,Pablo Picasso,Spanish,Spanish,Europe,1881,1973,Male,1932,Oil on canvas,1937-12-17,1937,5,78311,162.3,130.2,21131.46,http://www.moma.org/collection/works/78311,http://www.moma.org/media/W1siZiIsIjIwMzk0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9ff5016f6835651d
Transparency,James Edward Davis,American,American,North America,1901,1974,Male,1944,"Pigment on cellulose acetate on plywood panel, two sheets",1945-01-03,1945,1,78313,35.6,51.1,1819.16,http://www.moma.org/collection/works/78313,http://www.moma.org/media/W1siZiIsIjEwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fe03503c43d27da4
Woman with a Mandolin,Georges Braque,French,French,Europe,1882,1963,Male,1937,Oil on canvas,1948-03-17,1948,11,78315,130.2,97.2,12655.44,http://www.moma.org/collection/works/78315,http://www.moma.org/media/W1siZiIsIjE1MTI0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c368c9e44c2e6784
The Fitting,Francisco Bor�s,Spanish,Spanish,Europe,1898,1972,Male,1934,Oil on canvas,1949-02-03,1949,15,78316,184.8,220.4,40729.92,http://www.moma.org/collection/works/78316,http://www.moma.org/media/W1siZiIsIjIwNzk3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0f45141bf26c6a9b
Murder in the Jungle,Wilson Bigaud,Haitian,Haitian,North America,1931,2010,Male,1950,Oil on composition board,1951-01-30,1951,1,78318,60.6,75.6,4581.36,http://www.moma.org/collection/works/78318,http://www.moma.org/media/W1siZiIsIjIzNjY2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=92da08ead8da59db
Chief,Franz Kline,American,American,North America,1910,1962,Male,1950,Oil on canvas,1951-01-22,1951,1,78319,148.3,186.7,27687.61,http://www.moma.org/collection/works/78319,http://www.moma.org/media/W1siZiIsIjIwMzQyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=24813d7f76f31de8
Panel for Edwin R. Campbell No. 3,Vasily Kandinsky,French,French,Europe,1866,1944,Male,1914,Oil on canvas,1954-01-12,1954,40,78320,162.5,92.1,14966.25,http://www.moma.org/collection/works/78320,http://www.moma.org/media/W1siZiIsIjI0MTQxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e5d6a3b204dc13bd
Delight,Hans Hofmann,American,American,North America,1880,1966,Male,1947,Gesso and oil on canvas,1956-01-23,1956,9,78322,126.9,101.6,12893.04,http://www.moma.org/collection/works/78322,http://www.moma.org/media/W1siZiIsIjE1NzQ2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5ac842c93d403a85
Portrait of Jacob Meyer de Haan,Paul Gauguin,French,French,Europe,1848,1903,Male,1889,Oil on wood,1958-02-19,1958,69,78323,79.6,51.7,4115.32,http://www.moma.org/collection/works/78323,http://www.moma.org/media/W1siZiIsIjE1MTI0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ece0cc1cf4af0e15
Nell and Jeremy Sandford,John Randall Bratby,British,British,Europe,1928,1992,Male,1957,Oil on composition board,1959-03-02,1959,2,78324,197.7,234,46261.8,http://www.moma.org/collection/works/78324,http://www.moma.org
Plumb Line in Yellow,Jean McEwen,Canadian,Canadian,North America,1923,1999,Male,1961,Oil on canvas,1962-01-09,1962,1,78325,152.8,152.7,23332.56,http://www.moma.org/collection/works/78325,http://www.moma.org
Woman in Striped Dress,James Francis Gill,American,American,North America,1934,0,Male,1962,Color crayon on gesso on composition board,1963-01-08,1963,1,78326,101.4,76.2,7726.68,http://www.moma.org/collection/works/78326,http://www.moma.org/media/W1siZiIsIjE3NjcyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1791231466bd1719
Small Figure on Blue,Michael Gross,Israeli,Israeli,Asia,1920,2004,Male,1964,Casein on composition board,1965-01-12,1965,1,78327,50.1,40.3,2019.03,http://www.moma.org/collection/works/78327,http://www.moma.org/media/W1siZiIsIjE3Nzc1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cad11d18bfb6ad7c
Red and Blue,Check  Boterf,American,American,North America,1934,0,Male,1968,"Synthetic polymer paint on shaped canvas, in three parts",1969-01-07,1969,1,78328,220.9,118,26066.2,http://www.moma.org/collection/works/78328,http://www.moma.org
White #19,Glenn Ligon,American,American,North America,1960,0,Male,1994,"Oilstick, gesso, and synthetic polymer paint on canvas mounted on wood",1996-03-11,1996,2,78329,213.4,152.4,32522.16,http://www.moma.org/collection/works/78329,http://www.moma.org/media/W1siZiIsIjE1MTI0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3b0aebbe88a3ed6b
House by the Railroad,Edward Hopper,American,American,North America,1882,1967,Male,1925,Oil on canvas,1930-01-12,1930,5,78330,61,73.7,4495.7,http://www.moma.org/collection/works/78330,http://www.moma.org/media/W1siZiIsIjE1NjM0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=eed3ce98d8bae5ff
Dr. Mayer-Hermann,Otto Dix,German,German,Europe,1891,1969,Male,1926,Oil and tempera on wood,1932-06-08,1932,6,78331,149.2,99.06,14779.752,http://www.moma.org/collection/works/78331,http://www.moma.org/media/W1siZiIsIjE1MTMxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7aac6dfb4fb66e06
Near Avenue A,Niles Spencer,American,American,North America,1893,1952,Male,1933,Oil on canvas,1937-12-03,1937,4,78332,76.8,102.2,7848.96,http://www.moma.org/collection/works/78332,http://www.moma.org/media/W1siZiIsIjE1MTMxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d3e82901a98c91fa
Self-Portrait with Cropped Hair,Frida Kahlo,Mexican,Mexican,North America,1907,1954,Female,1940,Oil on canvas,1943-02-18,1943,3,78333,40,27.9,1116,http://www.moma.org/collection/works/78333,http://www.moma.org/media/W1siZiIsIjE1MTMxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f64825f20c4f1ec3
Panel for Edwin R. Campbell No. 1,Vasily Kandinsky,French,French,Europe,1866,1944,Male,1914,Oil on canvas,1954-01-12,1954,40,78335,162.5,80,13000,http://www.moma.org/collection/works/78335,http://www.moma.org/media/W1siZiIsIjI0MTQxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c2606e752a927bf8
"SUM, 2",Alfonso Ossorio,American,American,North America,1916,1990,Male,1959,"Synthetic resin with nails, coins, steel wool, tooth, rope, screw eyes, shells, belt, key, and hinges on board",1961-01-09,1961,2,78338,243.2,121.8,29621.76,http://www.moma.org/collection/works/78338,http://www.moma.org
Poltergeist,Charles Hinman,American,American,North America,1932,0,Male,1964,Synthetic polymer paint on shaped canvas over wood framework,1965-01-12,1965,1,78339,250.7,156.9,39334.83,http://www.moma.org/collection/works/78339,http://www.moma.org/media/W1siZiIsIjIwOTk4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=68a0eebec1c364c0
"Generative Painting: Black, Red, Orange",Eduardo A. MacEntyre,Argentine,Argentine,South America,1929,2014,Male,1965,Oil on canvas,1967-02-09,1967,2,78340,164.9,150.4,24800.96,http://www.moma.org/collection/works/78340,http://www.moma.org/media/W1siZiIsIjE4MjE5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=41684124a82fb7cf
Doorstop,James Rosenquist,American,American,North America,1933,2017,Male,1963,Oil on canvas with light bulbs,1996-03-11,1996,33,78342,152.7,213,32525.1,http://www.moma.org/collection/works/78342,http://www.moma.org/media/W1siZiIsIjIyNjYzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8181d214ba529468
Seated Nude,Bernard Karfiol,American,American,North America,1886,1952,Male,1929,Oil on canvas,1930-01-12,1930,1,78343,101.6,76.2,7741.92,http://www.moma.org/collection/works/78343,http://www.moma.org/media/W1siZiIsIjIwNzk4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b9d9967fe4e40a33
Proletarian Victim,David Alfaro Siqueiros,Mexican,Mexican,North America,1896,1974,Male,1933,Enamel on burlap,1938-02-17,1938,5,78345,205.8,120.6,24819.48,http://www.moma.org/collection/works/78345,http://www.moma.org/media/W1siZiIsIjE2NTgyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bc52420e59af13df
The Verdigris Goblet,Emilio Pettoruti,Argentine,Argentine,South America,1892,1971,Male,1934,Oil on canvas,1943-02-18,1943,9,78346,54.9,46,2525.4,http://www.moma.org/collection/works/78346,http://www.moma.org/media/W1siZiIsIjE2MDUzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=679c4a7c6f8a5a88
Red Votive Lights,Loren MacIver,American,American,North America,1909,1998,Female,1943,Oil on wood,1945-01-03,1945,2,78347,50.8,65.1,3307.08,http://www.moma.org/collection/works/78347,http://www.moma.org/media/W1siZiIsIjY4Mzk1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=93fcf835553e5e14
I See Again in Memory My Dear Udnie,Francis Picabia,French,French,Europe,1879,1953,Male,1914,Oil on canvas,1954-01-12,1954,40,78348,250.2,198.8,49739.76,http://www.moma.org/collection/works/78348,http://www.moma.org/media/W1siZiIsIjI0MzI0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0b7e16a7b09256aa
Number 5-58,Nassos Daphnis,American,American,North America,1914,2010,Male,1958,Synthetic polymer paint on canvas,1959-03-02,1959,1,78349,162.7,109.2,17766.84,http://www.moma.org/collection/works/78349,http://www.moma.org/media/W1siZiIsIjIxNjg3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=07246370c27468b0
Divided Hour,Antonio Corpora,Italian,Italian,Europe,1909,2004,Male,1958,Oil on canvas,1960-02-10,1960,2,78350,145.9,113.8,16603.42,http://www.moma.org/collection/works/78350,http://www.moma.org
Self-Portrait,Vincent Canade,American,American,North America,1879,1961,Male,1926,Oil on canvas,1936-01-14,1936,10,78352,47.3,35.6,1683.88,http://www.moma.org/collection/works/78352,http://www.moma.org/media/W1siZiIsIjE2MTEzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=39f293b536645e31
Edge of August,Mark Tobey,American,American,North America,1890,1976,Male,1953,Casein on composition board,1954-01-12,1954,1,78357,121.9,71.1,8667.09,http://www.moma.org/collection/works/78357,http://www.moma.org/media/W1siZiIsIjE1MTQwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3a9a9c36e4d523ca
Enamored Tomcat,Leonardo Cremonini,Italian,Italian,Europe,1925,2010,Male,1952,Oil on canvas,1955-04-06,1955,3,78358,58.7,45.1,2647.37,http://www.moma.org/collection/works/78358,http://www.moma.org/media/W1siZiIsIjIyNTE1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d842be68918e5034
Big Red,Sam Francis,American,American,North America,1923,1994,Male,1953,Oil on canvas,1958-02-19,1958,5,78360,303.2,194,58820.8,http://www.moma.org/collection/works/78360,http://www.moma.org/media/W1siZiIsIjE1MTQwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=69d0327e114d1ccc
The Tree,Agnes Martin,American,American,North America,1912,2004,Female,1964,Oil and pencil on canvas,1965-01-12,1965,1,78361,182.8,182.8,33415.84,http://www.moma.org/collection/works/78361,http://www.moma.org/media/W1siZiIsIjI0ODYzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=746ec2b5d469307f
Turnsole,Kenneth Noland,American,American,North America,1924,2010,Male,1961,Synthetic polymer paint on canvas,1968-01-10,1968,7,78362,239,239,57121,http://www.moma.org/collection/works/78362,http://www.moma.org/media/W1siZiIsIjE1MTQwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c988a41d84b216a5
Untitled,Blinky Palermo,American,American,North America,1928,2011,Male,1968,Oil-based house paint and crayon on canvas,1969-01-07,1969,1,78363,172.8,216,37324.8,http://www.moma.org/collection/works/78363,http://www.moma.org/media/W1siZiIsIjE1MTQwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dde1309ba71a7312
Achrome,Piero Manzoni,Italian,Italian,Europe,1933,1963,Male,1960,Kaolin on canvas,1999-02-08,1999,39,78364,41,61,2501,http://www.moma.org/collection/works/78364,http://www.moma.org/media/W1siZiIsIjMzNzcwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2a538e05fcf91e6f
Homestead,Thomas Hart Benton,American,American,North America,1889,1975,Male,1934,Tempera and oil on composition board,1938-02-17,1938,4,78365,63.5,86.4,5486.4,http://www.moma.org/collection/works/78365,http://www.moma.org/media/W1siZiIsIjE1OTEwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4a3dd8155dd578e6
Self-Portrait,Vincent Canade,American,American,North America,1860,1934,Male,1929,Oil on canvas over composition board,1939-01-06,1939,10,78366,91.8,68.9,6325.02,http://www.moma.org/collection/works/78366,http://www.moma.org/media/W1siZiIsIjE2MTkxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a1afb403d078d498
Departure,Max Beckmann,German,German,Europe,1884,1950,Male,1935,"Oil on canvas, three panels",1942-01-27,1942,7,78367,215.3,115.3,24824.09,http://www.moma.org/collection/works/78367,http://www.moma.org/media/W1siZiIsIjMxMTkxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a58b3b6bc65f4ba3
The New Rich,Antonio Ruiz,Mexican,Mexican,North America,1897,1964,Male,1941,Oil on canvas,1943-02-18,1943,2,78368,32.1,42.2,1354.62,http://www.moma.org/collection/works/78368,http://www.moma.org/media/W1siZiIsIjI5OTU1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=85376aa2fd07b517
The Angel Kidnappers,Julio Castellanos,Mexican,Mexican,North America,1905,1947,Male,1943,Oil on canvas,1944-03-14,1944,1,78369,57.5,94.9,5456.75,http://www.moma.org/collection/works/78369,http://www.moma.org
Execution First Version,Balcomb Greene,American,American,North America,1904,1990,Male,1948,Oil on canvas,1950-01-06,1950,2,78370,101.3,75.9,7688.67,http://www.moma.org/collection/works/78370,http://www.moma.org
L'Estaque,Andre Derain,French,French,Europe,1880,1954,Male,1906,Oil on canvas,1951-01-30,1951,45,78371,35.3,45.1,1592.03,http://www.moma.org/collection/works/78371,http://www.moma.org/media/W1siZiIsIjE1MTQ2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=968823f17112873b
"Blast, I",Adolph Gottlieb,American,American,North America,1903,1974,Male,1957,Oil on canvas,1958-02-19,1958,1,78373,228.7,114.4,26163.28,http://www.moma.org/collection/works/78373,http://www.moma.org/media/W1siZiIsIjIwNTIzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bf4bf821a1085872
First Theme,Burgoyne Diller,American,American,North America,1906,1965,Male,1942,Oli on canvas,1958-10-29,1958,16,78374,106.6,106.6,11363.56,http://www.moma.org/collection/works/78374,http://www.moma.org/media/W1siZiIsIjIyNTE2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bfc621b25139f3e4
Shinnecock Canal,Grace Hartigan,American,American,North America,1922,2008,Female,1957,Oil on canvas,1960-02-10,1960,3,78375,229.8,193,44351.4,http://www.moma.org/collection/works/78375,http://www.moma.org/media/W1siZiIsIjE1OTEwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=afc0cf2c7db229f9
Shimmering Substance,Jackson Pollock,American,American,North America,1912,1956,Male,1946,Oil on canvas,1968-01-10,1968,22,78376,76.3,61.6,4700.08,http://www.moma.org/collection/works/78376,http://www.moma.org/media/W1siZiIsIjIwMzUzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a16a6207be59924c
Pettys Bright,Larry Zox,American,American,North America,1936,2006,Male,1968,Synthetic polymer paint on canvas,1969-01-07,1969,1,78377,198.1,364.6,72227.26,http://www.moma.org/collection/works/78377,http://www.moma.org/media/W1siZiIsIjM0NTIyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a009a78d2d4de0f5
The Bride,Hyman Bloom,American,American,North America,1913,2009,Male,1941,Oil on canvas,1942-01-27,1942,1,78379,51.1,126.7,6474.37,http://www.moma.org/collection/works/78379,http://www.moma.org
Still Life,Henri Matisse,French,French,Europe,1869,1954,Male,1899,Oil on canvas,1949-02-03,1949,50,78380,46,38.1,1752.6,http://www.moma.org/collection/works/78380,http://www.moma.org/media/W1siZiIsIjI3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e09f809d901d8b82
Rainbow Rampage,Lee Gatch,American,American,North America,1902,1968,Male,1950,Oil on canvas,1951-01-30,1951,1,78381,71.1,101.6,7223.76,http://www.moma.org/collection/works/78381,http://www.moma.org/media/W1siZiIsIjIyNjE4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1dae2db8ef98c1fa
Street Light,Giacomo Balla,Italian,Italian,Europe,1871,1958,Male,1909,Oil on canvas,1954-04-06,1954,45,78382,174.7,114.7,20038.09,http://www.moma.org/collection/works/78382,http://www.moma.org/media/W1siZiIsIjE1MTQ5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ec2f83de605b58a9
Painting,Philip Guston,American,American,North America,1913,1980,Male,1954,Oil on canvas,1956-06-06,1956,2,78383,160.6,152.7,24523.62,http://www.moma.org/collection/works/78383,http://www.moma.org/media/W1siZiIsIjE3NDQwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2683a478fef00d5c
Construction,Richard Lindner,American,American,North America,1901,1978,Male,1962,"Plastic mask, printed paper and cloth on painted wood panel",1963-01-08,1963,1,78384,29.9,33,986.7,http://www.moma.org/collection/works/78384,http://www.moma.org
The Mosque,Ibrahim El-Salahi,Sudanese,Sudanese,Africa,1930,0,Male,1964,Oil on canvas,1965-01-12,1965,1,78385,30.7,46,1412.2,http://www.moma.org/collection/works/78385,http://www.moma.org/media/W1siZiIsIjI3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=aaa645ac5e509b43
